2025-07-20 16:23:25,976 [INFO] fetch_kline.py:81 筛选得到 2087 只股票
2025-07-20 16:23:25,977 [INFO] fetch_kline.py:335 开始抓取 2087 支股票 | 数据源:akshare | 频率:day | 日期:20190101 → 20250720
2025-07-20 16:23:43,476 [WARNING] fetch_kline.py:162 AKShare 拉取 002271 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:43,827 [WARNING] fetch_kline.py:162 AKShare 拉取 002274 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:43,854 [WARNING] fetch_kline.py:162 AKShare 拉取 002287 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:43,970 [WARNING] fetch_kline.py:162 AKShare 拉取 002273 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:44,210 [WARNING] fetch_kline.py:162 AKShare 拉取 002290 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:44,300 [WARNING] fetch_kline.py:162 AKShare 拉取 002291 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:44,364 [WARNING] fetch_kline.py:162 AKShare 拉取 002277 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:44,446 [WARNING] fetch_kline.py:162 AKShare 拉取 002283 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:44,491 [WARNING] fetch_kline.py:162 AKShare 拉取 002292 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:44,563 [WARNING] fetch_kline.py:162 AKShare 拉取 002281 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:44,594 [WARNING] fetch_kline.py:162 AKShare 拉取 002276 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:44,711 [WARNING] fetch_kline.py:162 AKShare 拉取 002293 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:44,846 [WARNING] fetch_kline.py:162 AKShare 拉取 002275 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:44,850 [WARNING] fetch_kline.py:162 AKShare 拉取 002294 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:45,007 [WARNING] fetch_kline.py:162 AKShare 拉取 002298 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:45,100 [WARNING] fetch_kline.py:162 AKShare 拉取 002284 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:45,371 [WARNING] fetch_kline.py:162 AKShare 拉取 002299 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:45,376 [WARNING] fetch_kline.py:162 AKShare 拉取 002279 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:45,498 [WARNING] fetch_kline.py:162 AKShare 拉取 002290 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:45,797 [WARNING] fetch_kline.py:162 AKShare 拉取 002271 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:45,798 [WARNING] fetch_kline.py:162 AKShare 拉取 002287 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:45,895 [WARNING] fetch_kline.py:162 AKShare 拉取 002291 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:45,943 [WARNING] fetch_kline.py:162 AKShare 拉取 002292 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:45,968 [WARNING] fetch_kline.py:162 AKShare 拉取 002301 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:46,224 [WARNING] fetch_kline.py:162 AKShare 拉取 002293 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:46,745 [WARNING] fetch_kline.py:162 AKShare 拉取 002294 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:46,764 [WARNING] fetch_kline.py:162 AKShare 拉取 002281 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:46,798 [WARNING] fetch_kline.py:162 AKShare 拉取 002274 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:46,949 [WARNING] fetch_kline.py:162 AKShare 拉取 002299 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
